City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Temperature_C,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,Electrolyzer_Efficiency_%,Hydrogen_Production_kg/day,Desalination_Power_kW,System_Efficiency_%,Feasibility_Score,Total_Renewable_Power_kW,Solar_Wind_Ratio,Power_per_H2,Latitude_India,Longitude_India,State,CAPEX_Total,OPEX_Annual,H2_Annual_kg,LCOH_USD_per_kg,LCOH_Band,Composite_Suitability_Index,Suitability_Band,Expected_Return
City-1,23.115249079745556,-16.168681853618335,6.275548724812433,20.76357439373141,6.234331598013736,243,183,74.93687187820787,47,13.870328639135188,78.58713669506238,0.9149599654417104,426,1.3206521739130435,8.875,25.618101782710436,84.68289194001352,Tamil Nadu,893500,17870.0,16450,6.618537907810646,Very High (>$5),0.3014876037566436,Very Low,-0.057414603898696286
City-2,25.250598363163448,-16.4210541999236,6.19721888081418,20.02613301116082,5.997667554757338,255,198,75.49706425513804,45,13.178681433310112,81.92904351746606,0.9277924841186516,453,1.2814070351758795,9.847826086956522,34.260714596148745,82.80952263907038,Maharashtra,912000,18240.0,15750,7.055823139473868,Very High (>$5),0.3928157224777934,Low,-0.061408129875782265
City-3,25.958851901176107,-16.664584264067077,6.186906720045296,21.30951336010435,6.497160214494958,255,175,74.45091411291013,57,11.181305409693964,75.8467716548373,0.9465266419797942,430,1.4488636363636365,7.413793103448276,30.979909127171076,70.85700574601677,Rajasthan,973500,19470.0,19950,5.946021317761262,Very High (>$5),0.5702768440593008,High,-0.050126476927927245
City-4,26.0338604015188,-14.390838841680289,6.48629201849168,19.300274663284256,5.510871974830615,268,186,73.15322180086874,53,12.380513341182375,77.97596051014307,0.9373098072851128,454,1.4331550802139037,8.407407407407407,28.979877262955547,83.06855844513939,Maharashtra,971000,19420.0,18550,6.378355513060878,Very High (>$5),0.49271763685419234,Medium,-0.05498815115064808
City-5,23.13816547091868,-12.808114003644024,6.216891181554744,21.05507101727336,6.391867732703573,253,179,76.43251105380428,47,13.786392295533965,77.30695276086063,0.909016015157278,432,1.4055555555555554,9.0,22.34027960663655,83.37845564215282,Maharashtra,897500,17950.0,16450,6.6481676242418075,Very High (>$5),0.2552190659899766,Very Low,-0.057701790995852625
City-6,24.43154176674408,-15.62710880434622,6.224969070132584,20.520637187295254,5.9688459135947785,279,199,74.49933103037334,46,12.062853050939768,77.20320100856206,0.8993014245615564,478,1.395,10.170212765957446,22.33991780504304,81.17081031340109,Karnataka,945500,18910.0,16100,7.155979095794345,Very High (>$5),0.18408172483495583,Very Low,-0.062254112577777854
City-7,23.83704284192144,-14.83674366546227,6.293518894878847,20.96688052396937,5.557821622912222,270,191,74.5134534863749,52,14.738850487320724,80.4333653622571,0.950869179014354,461,1.40625,8.69811320754717,20.871254182522993,83.32231865591173,Rajasthan,972500,19450.0,18200,6.511058960467804,Very High (>$5),0.5911262503123931,High,-0.05635092347610698
City-8,27.088497530926947,-13.161075526405536,5.678862277144594,20.105711134619696,5.949863763885088,244,184,75.7593232801626,55,12.900804547677952,81.63784388831783,0.9758861161291084,428,1.318918918918919,7.642857142857143,32.992642186624025,84.91842879355464,Rajasthan,960000,19200.0,19250,6.07678547897271,Very High (>$5),0.7870372735125792,Very High,-0.05166991715648402
City-9,27.5129604607139,-16.496984082323056,6.378247037367043,19.910005633360665,5.623385014244186,253,192,75.22436822108064,51,14.57557061765552,78.37478647038212,0.9333838033238772,445,1.310880829015544,8.557692307692308,29.01672517614813,80.27208228474916,Rajasthan,949000,18980.0,17850,6.478305107740615,Very High (>$5),0.45456109328967576,Medium,-0.05601975360713381
City-10,23.51077858428858,-14.756360480811091,5.747704380268374,22.323935776560404,5.874854540376812,254,192,74.32430887701699,54,14.45341859956161,77.91291367677255,0.943284228461668,446,1.3160621761658031,8.10909090909091,30.621088666940683,69.77209427939358,Maharashtra,974000,19480.0,18900,6.279579438822685,Very High (>$5),0.5416511919796765,Medium,-0.05393639773485497
City-11,26.1884179647488,-14.423285268519262,5.519274284523303,22.51628404803612,6.126366129680029,253,181,74.9604344196902,49,13.742870762464484,81.86548792642331,0.9457612900048538,434,1.39010989010989,8.68,20.308767414437035,77.75255619334422,Tamil Nadu,916500,18330.0,17150,6.511810459849422,Very High (>$5),0.5433980605019335,Medium,-0.056358482691126664
City-12,23.786488332552,-15.726501711159695,6.107502415208247,21.084047500721944,5.613465846236168,247,183,73.01304109592564,54,11.386081826232182,79.91939493809308,0.9547686374039582,430,1.3423913043478262,7.818181818181818,34.54864778242992,69.5529866934321,Rajasthan,953500,19070.0,18900,6.147411699093871,Very High (>$5),0.6277867829087709,High,-0.052476225603433825
City-13,24.94160144517654,-16.904897698786183,6.467907197440243,19.83461332176341,6.294982088693057,251,185,73.89753232690944,55,12.842236805431607,80.1809666619009,0.9648364854840008,436,1.3494623655913978,7.785714285714286,32.48663961200633,76.15086062064861,Maharashtra,968500,19370.0,19250,6.130590350401113,Very High (>$5),0.7013889106256086,Very High,-0.05228586912258278
City-14,27.43538723680161,-16.32268072060466,6.319440852298785,19.43114416979969,5.809763836870414,271,189,76.54210412969498,59,14.031132677953709,77.48470491069968,0.9702741056041122,460,1.4263157894736842,7.666666666666667,23.185086660174143,76.14212978251255,Karnataka,1026500,20530.0,20650,6.057205441015213,Very High (>$5),0.7555282534567032,Very High,-0.051443051492415154
City-15,24.098340128593517,-16.80003492716475,5.717488933170916,20.55088104128441,5.947636808281576,255,193,75.89631833212205,56,13.448717434057349,77.6612906271217,0.954423109712773,448,1.3144329896907216,7.859649122807017,22.727374508106507,69.32019688280484,Tamil Nadu,992500,19850.0,19600,6.170322309029442,Very High (>$5),0.6295082070210265,High,-0.05273382091383078
City-16,27.11881609851252,-14.21556043569312,5.648559376391294,21.51928361973385,6.4831963250321785,275,183,75.06283260319233,49,13.473691103081515,75.67144441825434,0.9049894905559348,458,1.4945652173913044,9.16,22.751067647801506,74.97641067938959,Karnataka,941500,18830.0,17150,6.689437586413781,Very High (>$5),0.23597956834354095,Very Low,-0.058097561983001964
City-17,24.349829803016284,-16.092476161022972,5.599997514025573,19.30620170952426,5.771951080423545,253,185,75.08237233454217,56,13.7154013454348,76.77939623964289,0.9466106515075716,438,1.3602150537634408,7.684210526315789,24.563633644393065,70.2199619758263,Tamil Nadu,978500,19570.0,19600,6.083285017012906,Very High (>$5),0.5726053615622575,High,-0.051744901720442465
City-18,26.281101421408035,-13.858842067130848,5.833796776618596,20.549532520090445,6.250504402146902,241,198,75.44871162588619,56,14.19534973919078,75.7632504816383,0.9415775001992216,439,1.2110552763819096,7.701754385964913,27.871346474483566,84.16470420018445,Maharashtra,986000,19720.0,19600,6.12991213773605,Very High (>$5),0.5315574230678187,Medium,-0.052278172311994504
City-19,26.62229469390848,-13.16464767408992,5.929042247779625,19.93002936943627,6.358107557107834,256,199,76.68518526174492,58,12.384850250505917,80.97822464956165,0.9892799258211404,455,1.28,7.711864406779661,26.479175279631736,86.95376051928942,Gujarat,1018500,20370.0,20300,6.1136194426787664,Very High (>$5),0.894061098142651,Very High,-0.05209275865132937
City-20,27.643831597016582,-16.928112645574537,6.056919659993979,20.86341043987476,6.378761188133046,243,197,75.84667870369296,58,14.338511873361208,80.33859301998284,0.9838041059060708,440,1.2272727272727273,7.4576271186440675,24.368437102970628,69.44632950515877,Tamil Nadu,1002500,20050.0,20300,6.017578292867416,Very High (>$5),0.8530308492386989,Very High,-0.050979390868038446
City-21,24.63211323346721,-16.41793009268465,5.732486223968159,20.106135543285347,5.544718421502422,278,182,73.78207938607086,52,14.763207587970738,80.13405710022026,0.946650443752474,460,1.5191256830601092,8.679245283018869,29.17779342083569,87.10230414583403,Karnataka,967000,19340.0,18200,6.474235490768501,Very High (>$5),0.5628559473650667,Medium,-0.055978372215084504
City-22,23.887474554799866,-14.298431372821026,6.033032842945046,19.263436653361687,6.37871748942719,257,175,75.92276750712361,52,13.128571651304302,75.91210596380544,0.9237044873760676,432,1.4602272727272727,8.150943396226415,22.092407909780626,78.4515319867349,Maharashtra,935500,18710.0,18200,6.2633374370361246,Very High (>$5),0.3825263796451143,Low,-0.05376027937365843
City-23,27.57663523404891,-16.694390358305466,5.7188124684713015,19.400284108353603,6.181372495602759,269,175,74.35558536348039,51,12.830279785373726,79.54129015546559,0.9396135830121674,444,1.5284090909090908,8.538461538461538,24.382169728028273,73.99131355907748,Tamil Nadu,939500,18790.0,17850,6.4134537921204515,Very High (>$5),0.5030818737425555,Medium,-0.055354071516072446
City-24,27.71792101985086,-15.871768664096304,6.09447041035274,21.85678346577281,6.423772668499176,258,179,73.02943100336348,50,11.883284720151323,75.61683892024806,0.9069021304405942,437,1.4333333333333333,8.568627450980392,25.495427649405375,69.53724150552327,Gujarat,926500,18530.0,17500,6.4512040842656635,Very High (>$5),0.25311790391301225,Very Low,-0.05574319641084632
City-25,25.639352443110567,-13.366676956887185,5.968004390231241,20.76674873503324,5.805749897201132,267,181,75.12154808700674,50,14.383050933814616,78.31546303809999,0.9273694374990225,448,1.467032967032967,8.784313725490197,26.84104976325554,78.01248536140835,Gujarat,938500,18770.0,17500,6.534759884601538,Very High (>$5),0.40788939290443693,Low,-0.056588490123097406
City-26,26.733169694810968,-14.358188005038128,6.439470956247639,21.06477719785874,6.390949308801475,255,175,74.40322764456953,46,12.013346669720187,78.04132126257666,0.9058636101901464,430,1.4488636363636365,9.148936170212766,31.777639420895206,83.89031088981497,Rajasthan,885500,17710.0,16100,6.701871485273288,Very High (>$5),0.22943286220643666,Very Low,-0.05821584518678705
City-27,23.18461452140095,-13.26773102167338,6.1626539771354665,19.12403263204733,6.093956092981346,258,194,75.52925626201505,52,11.361942186401311,81.85420058201285,0.962844694783466,452,1.323076923076923,8.528301886792454,22.995106732375397,82.14172954533396,Rajasthan,965000,19300.0,18200,6.460845138150572,Very High (>$5),0.677489294224907,High,-0.05584184612885016
City-28,25.370986799853757,-13.806600047978954,6.232471779844116,19.802150478928816,5.596953517420256,262,176,74.46146553516047,54,11.309294815720884,76.35087286539454,0.933331946388981,438,1.4802259887005649,7.963636363636364,27.713516576204174,69.00452022927948,Karnataka,958000,19160.0,18900,6.17642412976605,Very High (>$5),0.46502609348241436,Medium,-0.05280210443901707
City-29,24.86668540329405,-12.91883761213012,6.184017196225844,22.188770755278203,6.156073679233809,248,189,74.00641958346793,46,11.167849229646857,77.95846044333736,0.9038095161651066,437,1.305263157894737,9.297872340425531,28.886218532930638,69.45803670735808,Tamil Nadu,899500,17990.0,16100,6.8078299277282,Very High (>$5),0.21667559626397775,Very Low,-0.0592062944262635
City-30,24.349413702048498,-13.901019579896047,6.286248146558118,20.709145393662325,5.741292776993549,243,176,74.34685864437962,57,13.58335013236996,79.41458824928321,0.9693008550409804,419,1.3728813559322033,7.224137931034483,20.696756190799967,76.05746565265274,Tamil Nadu,963000,19260.0,19950,5.881888576275394,Very High (>$5),0.7435546058204832,Very High,-0.04934442066115691
City-31,23.45106356904412,-12.181548598937823,6.305350288079806,19.87929944995248,6.186161192820983,265,189,75.61372845498549,56,13.464935136807032,80.72998157192568,0.976030645571386,454,1.394736842105263,7.964912280701754,29.113172778521573,73.90580988095887,Rajasthan,996500,19930.0,19600,6.195190106748452,Very High (>$5),0.7885277098559274,Very High,-0.05301126552159524
City-32,26.7501695536324,-14.587601304042536,6.365387428582541,20.689264827077174,5.95752104218819,264,184,75.59639667987537,47,13.411786680863184,81.05613001166465,0.9324039027911198,448,1.427027027027027,9.333333333333334,22.557861855309373,72.64768646112095,Tamil Nadu,916000,18320.0,16450,6.785205062735929,Very High (>$5),0.4331193534180833,Low,-0.05899740532970091
City-33,26.70202183683633,-12.793387779308375,5.927812618999274,22.31155363638925,5.54480015922035,254,197,76.33455763847833,52,14.595552789793564,76.65023618490346,0.9277924679292792,451,1.2828282828282829,8.50943396226415,20.97577389477919,73.62008997817428,Tamil Nadu,965500,19310.0,18200,6.464192726305054,Very High (>$5),0.4174193449507926,Low,-0.05587603067711236
City-34,27.15911847916214,-15.344992442286474,5.844015599045416,21.449980164479797,6.071843500327863,242,176,76.49392852448089,55,13.835298190317856,75.65341221644066,0.937257904020394,418,1.3672316384180792,7.464285714285714,34.2332830588,84.0696548659377,Gujarat,946000,18920.0,19250,5.988165690737691,Very High (>$5),0.4951350523669239,Medium,-0.05063127859059254
City-35,23.13894867188585,-16.09022668365867,6.306282728700468,22.618822854746423,5.964379058245814,266,176,73.95186118017196,52,14.647408345558052,77.68197875688436,0.9320779206969771,442,1.502824858757062,8.339622641509434,34.484480496118394,86.58456107263709,Rajasthan,946000,18920.0,18200,6.333636788280249,Very High (>$5),0.4488288746986572,Low,-0.054516056603277525
